Абсолютный путь;Относительный путь;Класс
C:\Users\misha\second_lab\dataset\cat\0043.jpg;dataset/random_dataset/3463.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0044.jpg;dataset/random_dataset/4451.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0045.jpg;dataset/random_dataset/9457.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0046.jpg;dataset/random_dataset/0078.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0047.jpg;dataset/random_dataset/5613.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0048.jpg;dataset/random_dataset/3464.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0049.jpg;dataset/random_dataset/2925.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0050.jpg;dataset/random_dataset/8105.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0051.jpg;dataset/random_dataset/4669.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0052.jpg;dataset/random_dataset/9975.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0053.jpg;dataset/random_dataset/3538.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0054.jpg;dataset/random_dataset/3150.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0055.jpg;dataset/random_dataset/5238.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0056.jpg;dataset/random_dataset/9467.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0057.jpg;dataset/random_dataset/3816.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0058.jpg;dataset/random_dataset/3373.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0059.jpg;dataset/random_dataset/2727.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0060.jpg;dataset/random_dataset/8695.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0061.jpg;dataset/random_dataset/1476.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0062.jpg;dataset/random_dataset/3819.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0063.jpg;dataset/random_dataset/2999.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0064.jpg;dataset/random_dataset/7188.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0065.jpg;dataset/random_dataset/1924.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0066.jpg;dataset/random_dataset/9353.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0067.jpg;dataset/random_dataset/8787.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0068.jpg;dataset/random_dataset/8418.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0069.jpg;dataset/random_dataset/9178.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0070.jpg;dataset/random_dataset/2354.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0071.jpg;dataset/random_dataset/6590.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0072.jpg;dataset/random_dataset/3749.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0073.jpg;dataset/random_dataset/5553.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0074.jpg;dataset/random_dataset/6077.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0075.jpg;dataset/random_dataset/4152.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0076.jpg;dataset/random_dataset/5257.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0077.jpg;dataset/random_dataset/9384.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0078.jpg;dataset/random_dataset/9073.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0079.jpg;dataset/random_dataset/5652.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0080.jpg;dataset/random_dataset/9062.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0081.jpg;dataset/random_dataset/0520.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0082.jpg;dataset/random_dataset/6887.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0083.jpg;dataset/random_dataset/4762.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0084.jpg;dataset/random_dataset/8199.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0085.jpg;dataset/random_dataset/0145.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0086.jpg;dataset/random_dataset/5162.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0087.jpg;dataset/random_dataset/4821.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0088.jpg;dataset/random_dataset/1754.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0089.jpg;dataset/random_dataset/4967.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0090.jpg;dataset/random_dataset/9184.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0091.jpg;dataset/random_dataset/4030.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0092.jpg;dataset/random_dataset/6041.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0093.jpg;dataset/random_dataset/6711.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0094.jpg;dataset/random_dataset/3327.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0095.jpg;dataset/random_dataset/5193.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0096.jpg;dataset/random_dataset/1974.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0097.jpg;dataset/random_dataset/5145.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0098.jpg;dataset/random_dataset/6438.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0099.jpg;dataset/random_dataset/7692.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0100.jpg;dataset/random_dataset/5231.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0101.jpg;dataset/random_dataset/8593.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0102.jpg;dataset/random_dataset/1693.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0103.jpg;dataset/random_dataset/2956.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0104.jpg;dataset/random_dataset/9071.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0105.jpg;dataset/random_dataset/2037.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0106.jpg;dataset/random_dataset/0398.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0107.jpg;dataset/random_dataset/6148.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0108.jpg;dataset/random_dataset/0259.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0109.jpg;dataset/random_dataset/8686.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0110.jpg;dataset/random_dataset/3802.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0111.jpg;dataset/random_dataset/0491.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0112.jpg;dataset/random_dataset/2666.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0113.jpg;dataset/random_dataset/8983.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0114.jpg;dataset/random_dataset/5774.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0115.jpg;dataset/random_dataset/4326.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0116.jpg;dataset/random_dataset/8831.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0117.jpg;dataset/random_dataset/2543.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0118.jpg;dataset/random_dataset/0169.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0119.jpg;dataset/random_dataset/8480.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0120.jpg;dataset/random_dataset/1439.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0121.jpg;dataset/random_dataset/0804.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0122.jpg;dataset/random_dataset/5033.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0123.jpg;dataset/random_dataset/8090.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0124.jpg;dataset/random_dataset/4648.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0125.jpg;dataset/random_dataset/6791.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0126.jpg;dataset/random_dataset/7599.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0127.jpg;dataset/random_dataset/7148.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0128.jpg;dataset/random_dataset/8879.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0129.jpg;dataset/random_dataset/9619.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0130.jpg;dataset/random_dataset/4363.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0131.jpg;dataset/random_dataset/1771.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0132.jpg;dataset/random_dataset/0159.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0133.jpg;dataset/random_dataset/8037.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0134.jpg;dataset/random_dataset/0016.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0135.jpg;dataset/random_dataset/5009.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0136.jpg;dataset/random_dataset/0368.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0137.jpg;dataset/random_dataset/3968.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0138.jpg;dataset/random_dataset/0133.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0139.jpg;dataset/random_dataset/6924.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0140.jpg;dataset/random_dataset/9043.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0141.jpg;dataset/random_dataset/3339.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0142.jpg;dataset/random_dataset/0900.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0143.jpg;dataset/random_dataset/3914.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0144.jpg;dataset/random_dataset/5641.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0145.jpg;dataset/random_dataset/3881.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0146.jpg;dataset/random_dataset/1860.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0147.jpg;dataset/random_dataset/4826.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0148.jpg;dataset/random_dataset/4556.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0149.jpg;dataset/random_dataset/4384.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0150.jpg;dataset/random_dataset/2565.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0151.jpg;dataset/random_dataset/0407.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0152.jpg;dataset/random_dataset/7019.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0153.jpg;dataset/random_dataset/2186.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0154.jpg;dataset/random_dataset/4803.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0155.jpg;dataset/random_dataset/8503.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0156.jpg;dataset/random_dataset/4190.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0157.jpg;dataset/random_dataset/9471.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0158.jpg;dataset/random_dataset/3833.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0159.jpg;dataset/random_dataset/5323.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0160.jpg;dataset/random_dataset/1916.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0161.jpg;dataset/random_dataset/6114.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0162.jpg;dataset/random_dataset/6087.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0163.jpg;dataset/random_dataset/4410.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0164.jpg;dataset/random_dataset/8441.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0165.jpg;dataset/random_dataset/1530.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0166.jpg;dataset/random_dataset/2402.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0167.jpg;dataset/random_dataset/3016.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0168.jpg;dataset/random_dataset/4328.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0169.jpg;dataset/random_dataset/0425.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0170.jpg;dataset/random_dataset/5379.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0171.jpg;dataset/random_dataset/8110.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0172.jpg;dataset/random_dataset/9224.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0173.jpg;dataset/random_dataset/6258.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0174.jpg;dataset/random_dataset/4798.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0175.jpg;dataset/random_dataset/2479.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0176.jpg;dataset/random_dataset/2635.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0177.jpg;dataset/random_dataset/1820.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0178.jpg;dataset/random_dataset/3229.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0179.jpg;dataset/random_dataset/1157.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0180.jpg;dataset/random_dataset/4209.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0181.jpg;dataset/random_dataset/7736.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0182.jpg;dataset/random_dataset/4636.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0183.jpg;dataset/random_dataset/0901.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0184.jpg;dataset/random_dataset/9350.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0185.jpg;dataset/random_dataset/1407.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0186.jpg;dataset/random_dataset/0663.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0187.jpg;dataset/random_dataset/7477.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0188.jpg;dataset/random_dataset/2084.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0189.jpg;dataset/random_dataset/1819.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0190.jpg;dataset/random_dataset/9860.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0191.jpg;dataset/random_dataset/2906.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0192.jpg;dataset/random_dataset/8980.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0193.jpg;dataset/random_dataset/8916.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0194.jpg;dataset/random_dataset/2998.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0195.jpg;dataset/random_dataset/2137.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0196.jpg;dataset/random_dataset/1268.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0197.jpg;dataset/random_dataset/1337.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0198.jpg;dataset/random_dataset/1072.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0199.jpg;dataset/random_dataset/3123.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0200.jpg;dataset/random_dataset/2562.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0201.jpg;dataset/random_dataset/1083.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0202.jpg;dataset/random_dataset/6640.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0203.jpg;dataset/random_dataset/4986.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0204.jpg;dataset/random_dataset/4469.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0205.jpg;dataset/random_dataset/0452.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0206.jpg;dataset/random_dataset/4359.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0207.jpg;dataset/random_dataset/5170.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0208.jpg;dataset/random_dataset/2768.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0209.jpg;dataset/random_dataset/2022.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0210.jpg;dataset/random_dataset/9390.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0211.jpg;dataset/random_dataset/6655.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0212.jpg;dataset/random_dataset/6973.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0213.jpg;dataset/random_dataset/0155.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0214.jpg;dataset/random_dataset/6131.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0215.jpg;dataset/random_dataset/8034.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0216.jpg;dataset/random_dataset/2873.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0217.jpg;dataset/random_dataset/5092.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0218.jpg;dataset/random_dataset/0538.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0219.jpg;dataset/random_dataset/5629.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0220.jpg;dataset/random_dataset/9649.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0221.jpg;dataset/random_dataset/6212.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0222.jpg;dataset/random_dataset/3969.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0223.jpg;dataset/random_dataset/9433.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0224.jpg;dataset/random_dataset/2977.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0225.jpg;dataset/random_dataset/5049.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0226.jpg;dataset/random_dataset/7694.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0227.jpg;dataset/random_dataset/7280.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0228.jpg;dataset/random_dataset/5905.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0229.jpg;dataset/random_dataset/0032.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0230.jpg;dataset/random_dataset/5035.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0231.jpg;dataset/random_dataset/5572.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0232.jpg;dataset/random_dataset/4599.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0233.jpg;dataset/random_dataset/2673.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0234.jpg;dataset/random_dataset/7828.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0235.jpg;dataset/random_dataset/9305.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0236.jpg;dataset/random_dataset/0390.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0237.jpg;dataset/random_dataset/9733.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0238.jpg;dataset/random_dataset/1512.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0239.jpg;dataset/random_dataset/7730.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0240.jpg;dataset/random_dataset/9668.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0241.jpg;dataset/random_dataset/1711.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0242.jpg;dataset/random_dataset/9358.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0243.jpg;dataset/random_dataset/5031.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0244.jpg;dataset/random_dataset/2955.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0245.jpg;dataset/random_dataset/9094.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0246.jpg;dataset/random_dataset/5297.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0247.jpg;dataset/random_dataset/7846.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0248.jpg;dataset/random_dataset/7823.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0249.jpg;dataset/random_dataset/7809.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0250.jpg;dataset/random_dataset/5382.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0251.jpg;dataset/random_dataset/5670.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0252.jpg;dataset/random_dataset/1898.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0253.jpg;dataset/random_dataset/1685.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0254.jpg;dataset/random_dataset/2431.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0255.jpg;dataset/random_dataset/6685.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0256.jpg;dataset/random_dataset/4240.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0257.jpg;dataset/random_dataset/9469.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0258.jpg;dataset/random_dataset/6303.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0259.jpg;dataset/random_dataset/2556.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0260.jpg;dataset/random_dataset/7764.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0261.jpg;dataset/random_dataset/2293.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0262.jpg;dataset/random_dataset/0536.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0263.jpg;dataset/random_dataset/0607.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0264.jpg;dataset/random_dataset/1329.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0265.jpg;dataset/random_dataset/7538.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0266.jpg;dataset/random_dataset/0701.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0267.jpg;dataset/random_dataset/2651.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0268.jpg;dataset/random_dataset/7742.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0269.jpg;dataset/random_dataset/7851.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0270.jpg;dataset/random_dataset/1967.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0271.jpg;dataset/random_dataset/5728.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0272.jpg;dataset/random_dataset/6468.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0273.jpg;dataset/random_dataset/9628.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0274.jpg;dataset/random_dataset/9468.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0275.jpg;dataset/random_dataset/8233.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0276.jpg;dataset/random_dataset/3115.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0277.jpg;dataset/random_dataset/5735.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0278.jpg;dataset/random_dataset/4675.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0279.jpg;dataset/random_dataset/6352.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0280.jpg;dataset/random_dataset/5365.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0281.jpg;dataset/random_dataset/9093.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0282.jpg;dataset/random_dataset/9858.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0283.jpg;dataset/random_dataset/2269.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0284.jpg;dataset/random_dataset/9654.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0285.jpg;dataset/random_dataset/4024.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0286.jpg;dataset/random_dataset/9480.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0287.jpg;dataset/random_dataset/3060.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0288.jpg;dataset/random_dataset/4125.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0289.jpg;dataset/random_dataset/3168.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0290.jpg;dataset/random_dataset/1651.jpg;cat
